# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
8800            	1.20539619e-01	6.02698095e-02	6.02698095e-02	7.26462333e-01	2.96759962e-01	4.29702372e-01	-6.64712051e-02	-1.06069434e-22	-2.56963608e-23	2.04405727e-21	9.96332272e-22	1.04772499e-21
8900            	1.20539700e-01	6.02698501e-02	6.02698501e-02	7.26552029e-01	2.96804428e-01	4.29747601e-01	-6.64715862e-02	-1.06070678e-22	-2.56942009e-23	2.04410152e-21	9.96356559e-22	1.04774496e-21
9000            	1.20539776e-01	6.02698880e-02	6.02698880e-02	7.26638677e-01	2.96847428e-01	4.29791249e-01	-6.64719105e-02	-1.06071881e-22	-2.56921330e-23	2.04414412e-21	9.96379929e-22	1.04776420e-21
9100            	1.20539850e-01	6.02699251e-02	6.02699251e-02	7.26725842e-01	2.96890702e-01	4.29835140e-01	-6.64722193e-02	-1.06073089e-22	-2.56900626e-23	2.04418696e-21	9.96403417e-22	1.04778354e-21
9200            	1.20539915e-01	6.02699573e-02	6.02699573e-02	7.26811749e-01	2.96933403e-01	4.29878346e-01	-6.64724716e-02	-1.06074280e-22	-2.56880203e-23	2.04422920e-21	9.96426580e-22	1.04780262e-21
9300            	1.20539979e-01	6.02699894e-02	6.02699894e-02	7.26894439e-01	2.96974514e-01	4.29919925e-01	-6.64727053e-02	-1.06075426e-22	-2.56860562e-23	2.04426981e-21	9.96448848e-22	1.04782096e-21
9400            	1.20540039e-01	6.02700197e-02	6.02700197e-02	7.26979128e-01	2.97016664e-01	4.29962465e-01	-6.64729005e-02	-1.06076598e-22	-2.56840485e-23	2.04431140e-21	9.96471653e-22	1.04783975e-21
9500            	1.20540084e-01	6.02700422e-02	6.02700422e-02	7.27061889e-01	2.97057864e-01	4.30004025e-01	-6.64730805e-02	-1.06077745e-22	-2.56820877e-23	2.04435206e-21	9.96493943e-22	1.04785812e-21
9600            	1.20540141e-01	6.02700707e-02	6.02700707e-02	7.27143923e-01	2.97098742e-01	4.30045182e-01	-6.64732200e-02	-1.06078881e-22	-2.56801789e-23	2.04439208e-21	9.96515862e-22	1.04787622e-21
9700            	1.20540189e-01	6.02700943e-02	6.02700943e-02	7.27224682e-01	2.97139010e-01	4.30085672e-01	-6.64733308e-02	-1.06079998e-22	-2.56782736e-23	2.04443176e-21	9.96537607e-22	1.04789415e-21
9800            	1.20540240e-01	6.02701201e-02	6.02701201e-02	7.27305527e-01	2.97179310e-01	4.30126218e-01	-6.64734540e-02	-1.06081116e-22	-2.56763868e-23	2.04447129e-21	9.96559256e-22	1.04791203e-21
9900            	1.20540277e-01	6.02701386e-02	6.02701386e-02	7.27385468e-01	2.97219208e-01	4.30166260e-01	-6.64735258e-02	-1.06082220e-22	-2.56744542e-23	2.04451090e-21	9.96580998e-22	1.04792991e-21
10000           	1.20540329e-01	6.02701643e-02	6.02701643e-02	7.27462428e-01	2.97257627e-01	4.30204801e-01	-6.64735872e-02	-1.06083283e-22	-2.56726368e-23	2.04454864e-21	9.96601683e-22	1.04794696e-21
