# Region type : functionObjectSurface sampled.plane1
# Faces       : 986
# Area        : 3.081250e-03
# Scale factor: 1.000000e+00
# Weight field: rhoU
# Time        	weightedUniformity(p)	weightedUniformity(U)	weightedUniformity(rhoU)
290           	9.820795e-01	9.966474e-01	9.966474e-01
291           	9.820708e-01	9.966481e-01	9.966481e-01
292           	9.820635e-01	9.966472e-01	9.966472e-01
293           	9.820510e-01	9.966483e-01	9.966483e-01
294           	9.820456e-01	9.966472e-01	9.966472e-01
295           	9.820413e-01	9.966481e-01	9.966481e-01
296           	9.820407e-01	9.966471e-01	9.966471e-01
297           	9.820377e-01	9.966483e-01	9.966483e-01
298           	9.820398e-01	9.966472e-01	9.966472e-01
299           	9.820422e-01	9.966481e-01	9.966481e-01
300           	9.820484e-01	9.966471e-01	9.966471e-01
301           	9.820539e-01	9.966483e-01	9.966483e-01
302           	9.820682e-01	9.966473e-01	9.966473e-01
303           	9.820775e-01	9.966481e-01	9.966481e-01
304           	9.820868e-01	9.966471e-01	9.966471e-01
305           	9.820920e-01	9.966483e-01	9.966483e-01
306           	9.820990e-01	9.966473e-01	9.966473e-01
307           	9.821024e-01	9.966481e-01	9.966481e-01
308           	9.821113e-01	9.966471e-01	9.966471e-01
309           	9.821179e-01	9.966483e-01	9.966483e-01
310           	9.821248e-01	9.966473e-01	9.966473e-01
311           	9.821283e-01	9.966481e-01	9.966481e-01
312           	9.821320e-01	9.966471e-01	9.966471e-01
313           	9.821360e-01	9.966483e-01	9.966483e-01
314           	9.821426e-01	9.966473e-01	9.966473e-01
315           	9.821445e-01	9.966481e-01	9.966481e-01
316           	9.821484e-01	9.966471e-01	9.966471e-01
317           	9.821498e-01	9.966483e-01	9.966483e-01
318           	9.821536e-01	9.966473e-01	9.966473e-01
319           	9.821565e-01	9.966481e-01	9.966481e-01
320           	9.821614e-01	9.966471e-01	9.966471e-01
321           	9.821646e-01	9.966483e-01	9.966483e-01
322           	9.821729e-01	9.966473e-01	9.966473e-01
323           	9.821789e-01	9.966481e-01	9.966481e-01
324           	9.821879e-01	9.966471e-01	9.966471e-01
325           	9.821959e-01	9.966483e-01	9.966483e-01
326           	9.822063e-01	9.966473e-01	9.966473e-01
327           	9.822150e-01	9.966481e-01	9.966481e-01
328           	9.822209e-01	9.966471e-01	9.966471e-01
329           	9.822251e-01	9.966483e-01	9.966483e-01
330           	9.822298e-01	9.966473e-01	9.966473e-01
331           	9.822333e-01	9.966481e-01	9.966481e-01
332           	9.822388e-01	9.966471e-01	9.966471e-01
333           	9.822409e-01	9.966483e-01	9.966483e-01
334           	9.822422e-01	9.966472e-01	9.966472e-01
335           	9.822425e-01	9.966481e-01	9.966481e-01
336           	9.822460e-01	9.966471e-01	9.966471e-01
337           	9.822495e-01	9.966482e-01	9.966482e-01
338           	9.822563e-01	9.966473e-01	9.966473e-01
339           	9.822625e-01	9.966481e-01	9.966481e-01
340           	9.822696e-01	9.966471e-01	9.966471e-01
341           	9.822740e-01	9.966483e-01	9.966483e-01
342           	9.822821e-01	9.966473e-01	9.966473e-01
343           	9.822886e-01	9.966480e-01	9.966480e-01
344           	9.822964e-01	9.966470e-01	9.966470e-01
345           	9.823003e-01	9.966482e-01	9.966482e-01
346           	9.823051e-01	9.966472e-01	9.966472e-01
347           	9.823064e-01	9.966480e-01	9.966480e-01
348           	9.823088e-01	9.966470e-01	9.966470e-01
349           	9.823090e-01	9.966482e-01	9.966482e-01
350           	9.823111e-01	9.966472e-01	9.966472e-01
351           	9.823128e-01	9.966481e-01	9.966481e-01
352           	9.823157e-01	9.966473e-01	9.966473e-01
353           	9.823149e-01	9.966485e-01	9.966485e-01
354           	9.823145e-01	9.966476e-01	9.966476e-01
355           	9.823126e-01	9.966483e-01	9.966483e-01
356           	9.823137e-01	9.966473e-01	9.966473e-01
357           	9.823137e-01	9.966486e-01	9.966486e-01
358           	9.823150e-01	9.966475e-01	9.966475e-01
359           	9.823136e-01	9.966484e-01	9.966484e-01
360           	9.823139e-01	9.966474e-01	9.966474e-01
361           	9.823114e-01	9.966486e-01	9.966486e-01
362           	9.823108e-01	9.966476e-01	9.966476e-01
363           	9.823056e-01	9.966483e-01	9.966483e-01
364           	9.823018e-01	9.966474e-01	9.966474e-01
365           	9.822943e-01	9.966484e-01	9.966484e-01
366           	9.822882e-01	9.966474e-01	9.966474e-01
367           	9.822831e-01	9.966481e-01	9.966481e-01
368           	9.822790e-01	9.966471e-01	9.966471e-01
369           	9.822750e-01	9.966483e-01	9.966483e-01
370           	9.822711e-01	9.966473e-01	9.966473e-01
371           	9.822674e-01	9.966481e-01	9.966481e-01
372           	9.822650e-01	9.966471e-01	9.966471e-01
373           	9.822622e-01	9.966483e-01	9.966483e-01
374           	9.822606e-01	9.966473e-01	9.966473e-01
375           	9.822579e-01	9.966481e-01	9.966481e-01
376           	9.822560e-01	9.966471e-01	9.966471e-01
377           	9.822531e-01	9.966482e-01	9.966482e-01
378           	9.822503e-01	9.966472e-01	9.966472e-01
379           	9.822473e-01	9.966480e-01	9.966480e-01
380           	9.822447e-01	9.966470e-01	9.966470e-01
381           	9.822422e-01	9.966481e-01	9.966481e-01
382           	9.822406e-01	9.966471e-01	9.966471e-01
383           	9.822385e-01	9.966479e-01	9.966479e-01
384           	9.822382e-01	9.966469e-01	9.966469e-01
385           	9.822366e-01	9.966481e-01	9.966481e-01
386           	9.822362e-01	9.966471e-01	9.966471e-01
387           	9.822353e-01	9.966479e-01	9.966479e-01
388           	9.822357e-01	9.966469e-01	9.966469e-01
389           	9.822348e-01	9.966481e-01	9.966481e-01
390           	9.822356e-01	9.966471e-01	9.966471e-01
391           	9.822348e-01	9.966479e-01	9.966479e-01
392           	9.822356e-01	9.966469e-01	9.966469e-01
393           	9.822353e-01	9.966481e-01	9.966481e-01
394           	9.822361e-01	9.966471e-01	9.966471e-01
395           	9.822357e-01	9.966479e-01	9.966479e-01
396           	9.822366e-01	9.966470e-01	9.966470e-01
397           	9.822360e-01	9.966481e-01	9.966481e-01
398           	9.822361e-01	9.966471e-01	9.966471e-01
399           	9.822353e-01	9.966479e-01	9.966479e-01
400           	9.822357e-01	9.966470e-01	9.966470e-01
401           	9.822342e-01	9.966481e-01	9.966481e-01
402           	9.822334e-01	9.966471e-01	9.966471e-01
403           	9.822318e-01	9.966480e-01	9.966480e-01
404           	9.822313e-01	9.966470e-01	9.966470e-01
405           	9.822294e-01	9.966481e-01	9.966481e-01
406           	9.822286e-01	9.966471e-01	9.966471e-01
407           	9.822269e-01	9.966480e-01	9.966480e-01
408           	9.822262e-01	9.966470e-01	9.966470e-01
409           	9.822252e-01	9.966481e-01	9.966481e-01
410           	9.822248e-01	9.966471e-01	9.966471e-01
411           	9.822236e-01	9.966480e-01	9.966480e-01
412           	9.822239e-01	9.966470e-01	9.966470e-01
413           	9.822229e-01	9.966481e-01	9.966481e-01
414           	9.822231e-01	9.966471e-01	9.966471e-01
415           	9.822226e-01	9.966480e-01	9.966480e-01
416           	9.822234e-01	9.966470e-01	9.966470e-01
417           	9.822224e-01	9.966481e-01	9.966481e-01
418           	9.822227e-01	9.966471e-01	9.966471e-01
419           	9.822216e-01	9.966480e-01	9.966480e-01
420           	9.822217e-01	9.966470e-01	9.966470e-01
421           	9.822202e-01	9.966481e-01	9.966481e-01
422           	9.822188e-01	9.966471e-01	9.966471e-01
423           	9.822170e-01	9.966480e-01	9.966480e-01
424           	9.822159e-01	9.966470e-01	9.966470e-01
425           	9.822138e-01	9.966481e-01	9.966481e-01
426           	9.822127e-01	9.966471e-01	9.966471e-01
427           	9.822108e-01	9.966480e-01	9.966480e-01
428           	9.822101e-01	9.966470e-01	9.966470e-01
429           	9.822088e-01	9.966481e-01	9.966481e-01
430           	9.822083e-01	9.966471e-01	9.966471e-01
431           	9.822075e-01	9.966480e-01	9.966480e-01
432           	9.822081e-01	9.966470e-01	9.966470e-01
