# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	nuTilda_solver  	nuTilda_initial 	nuTilda_final   	nuTilda_iters   	nuTilda_converged	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
101             	DILUPBiCGStab	3.82759810e-04	2.37767370e-09	4	1.50355820e-03	9.41617590e-09	5	false	DILUPBiCGStab	2.50183100e-03	3.23869390e-09	3	true	GAMG	1.45806020e-03	1.22659530e-04	2	true
102             	DILUPBiCGStab	3.85007000e-04	2.36179670e-09	4	1.47098580e-03	1.06717290e-10	7	false	DILUPBiCGStab	2.52025380e-03	3.16373290e-09	3	true	GAMG	1.43445560e-03	1.21221590e-04	2	true
103             	DILUPBiCGStab	3.83573040e-04	2.36208830e-09	4	1.43465680e-03	5.74081870e-09	6	false	DILUPBiCGStab	2.53529220e-03	3.08664180e-09	3	true	GAMG	1.41096440e-03	1.19956700e-04	2	true
104             	DILUPBiCGStab	3.85900730e-04	2.36096470e-09	4	1.40552310e-03	7.81709770e-09	5	false	DILUPBiCGStab	2.55137030e-03	3.00086870e-09	3	true	GAMG	1.38615900e-03	1.18809340e-04	2	true
105             	DILUPBiCGStab	3.84499850e-04	2.36932490e-09	4	1.37288870e-03	5.17808500e-09	5	false	DILUPBiCGStab	2.56399440e-03	2.91081540e-09	3	true	GAMG	1.36011700e-03	1.17775030e-04	2	true
106             	DILUPBiCGStab	3.86802960e-04	2.37067890e-09	4	1.34763480e-03	3.76723960e-09	5	false	DILUPBiCGStab	2.57767990e-03	2.80661920e-09	3	true	GAMG	1.33061540e-03	1.16745070e-04	2	true
107             	DILUPBiCGStab	3.85450660e-04	2.37764960e-09	4	1.31880600e-03	3.56996940e-09	5	false	DILUPBiCGStab	2.58792510e-03	2.69915720e-09	3	true	GAMG	1.30119190e-03	1.15728210e-04	2	true
108             	DILUPBiCGStab	3.87690380e-04	2.36653440e-09	4	1.29680140e-03	3.35495080e-09	5	false	DILUPBiCGStab	2.59904220e-03	2.58554650e-09	3	true	GAMG	1.27316440e-03	1.14606160e-04	2	true
109             	DILUPBiCGStab	3.86272390e-04	2.34886190e-09	4	1.27081650e-03	4.16928270e-09	5	false	DILUPBiCGStab	2.60700170e-03	2.48949700e-09	3	true	GAMG	1.24783230e-03	1.13394010e-04	2	true
110             	DILUPBiCGStab	3.88428700e-04	2.30721920e-09	4	1.25121050e-03	5.60009960e-09	5	false	DILUPBiCGStab	2.61554030e-03	2.45465200e-09	3	true	GAMG	1.22196510e-03	1.11986570e-04	2	true
111             	DILUPBiCGStab	3.86967170e-04	2.26272660e-09	4	1.22742950e-03	8.32782590e-09	6	false	DILUPBiCGStab	2.62128400e-03	2.89580150e-09	3	true	GAMG	1.19832470e-03	1.10459670e-04	2	true
112             	DILUPBiCGStab	3.89075600e-04	2.19494590e-09	4	1.20920990e-03	3.29071630e-09	6	false	DILUPBiCGStab	2.62747250e-03	4.35950050e-09	3	true	GAMG	1.17358820e-03	1.08733920e-04	2	true
113             	DILUPBiCGStab	3.87535250e-04	2.12217020e-09	4	1.18643430e-03	4.10943600e-09	5	false	DILUPBiCGStab	2.63100930e-03	8.31867140e-09	3	true	GAMG	1.14978330e-03	1.06932320e-04	2	true
