# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 6.94400000e+01
# lRef          : 9.00000000e-01
# Aref          : 1.00000000e-01
# CofR          : (7.50000000e-01 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
6500            	1.13925041e-01	5.69625204e-02	5.69625204e-02	7.32675161e-01	3.05625471e-01	4.27049690e-01	-6.07121092e-02	-1.22626525e-22	2.54358644e-23	2.56499181e-21	1.30793177e-21	1.25706004e-21
6600            	1.13925096e-01	5.69625479e-02	5.69625479e-02	7.32623420e-01	3.05598800e-01	4.27024620e-01	-6.07129099e-02	-1.22625788e-22	2.54351130e-23	2.56496819e-21	1.30791921e-21	1.25704898e-21
6700            	1.13925149e-01	5.69625744e-02	5.69625744e-02	7.32573007e-01	3.05572822e-01	4.27000185e-01	-6.07136815e-02	-1.22625071e-22	2.54343805e-23	2.56494518e-21	1.30790697e-21	1.25703821e-21
6800            	1.13925200e-01	5.69626000e-02	5.69626000e-02	7.32523892e-01	3.05547520e-01	4.26976371e-01	-6.07144254e-02	-1.22624371e-22	2.54336664e-23	2.56492277e-21	1.30789505e-21	1.25702772e-21
6900            	1.13925250e-01	5.69626248e-02	5.69626248e-02	7.32476044e-01	3.05522879e-01	4.26953165e-01	-6.07151430e-02	-1.22623690e-22	2.54329702e-23	2.56490094e-21	1.30788344e-21	1.25701750e-21
7000            	1.13925297e-01	5.69626487e-02	5.69626487e-02	7.32429436e-01	3.05498883e-01	4.26930553e-01	-6.07158353e-02	-1.22623027e-22	2.54322917e-23	2.56487968e-21	1.30787213e-21	1.25700755e-21
7100            	1.13925344e-01	5.69626718e-02	5.69626718e-02	7.32384042e-01	3.05475517e-01	4.26908525e-01	-6.07165036e-02	-1.22622381e-22	2.54316304e-23	2.56485897e-21	1.30786112e-21	1.25699785e-21
7200            	1.13925388e-01	5.69626942e-02	5.69626942e-02	7.32339834e-01	3.05452768e-01	4.26887065e-01	-6.07171487e-02	-1.22621752e-22	2.54309861e-23	2.56483881e-21	1.30785039e-21	1.25698842e-21
7300            	1.13925432e-01	5.69627158e-02	5.69627158e-02	7.32296784e-01	3.05430620e-01	4.26866164e-01	-6.07177718e-02	-1.22621139e-22	2.54303584e-23	2.56481918e-21	1.30783995e-21	1.25697923e-21
7400            	1.13925473e-01	5.69627367e-02	5.69627367e-02	7.32254868e-01	3.05409061e-01	4.26845808e-01	-6.07183736e-02	-1.22620543e-22	2.54297468e-23	2.56480006e-21	1.30782978e-21	1.25697028e-21
7500            	1.13925514e-01	5.69627569e-02	5.69627569e-02	7.32214063e-01	3.05388076e-01	4.26825986e-01	-6.07189551e-02	-1.22619963e-22	2.54291512e-23	2.56478146e-21	1.30781988e-21	1.25696158e-21
7600            	1.13925553e-01	5.69627765e-02	5.69627765e-02	7.32174343e-01	3.05367654e-01	4.26806688e-01	-6.07195171e-02	-1.22619398e-22	2.54285712e-23	2.56476335e-21	1.30781025e-21	1.25695310e-21
7700            	1.13925591e-01	5.69627954e-02	5.69627954e-02	7.32135684e-01	3.05347782e-01	4.26787902e-01	-6.07200603e-02	-1.22618848e-22	2.54280064e-23	2.56474573e-21	1.30780087e-21	1.25694486e-21
7800            	1.13925628e-01	5.69628138e-02	5.69628138e-02	7.32098065e-01	3.05328447e-01	4.26769618e-01	-6.07205854e-02	-1.22618313e-22	2.54274566e-23	2.56472858e-21	1.30779175e-21	1.25693683e-21
7900            	1.13925663e-01	5.69628316e-02	5.69628316e-02	7.32061461e-01	3.05309637e-01	4.26751824e-01	-6.07210933e-02	-1.22617793e-22	2.54269214e-23	2.56471190e-21	1.30778287e-21	1.25692903e-21
8000            	1.13925698e-01	5.69628488e-02	5.69628488e-02	7.32025851e-01	3.05291341e-01	4.26734510e-01	-6.07215845e-02	-1.22617287e-22	2.54264006e-23	2.56469567e-21	1.30777423e-21	1.25692143e-21
8100            	1.13925731e-01	5.69628655e-02	5.69628655e-02	7.31991215e-01	3.05273548e-01	4.26717667e-01	-6.07220596e-02	-1.22616794e-22	2.54258939e-23	2.56467988e-21	1.30776583e-21	1.25691405e-21
8200            	1.13925763e-01	5.69628817e-02	5.69628817e-02	7.31957530e-01	3.05256246e-01	4.26701285e-01	-6.07225193e-02	-1.22616315e-22	2.54254009e-23	2.56466453e-21	1.30775767e-21	1.25690687e-21
8300            	1.13925795e-01	5.69628974e-02	5.69628974e-02	7.31924778e-01	3.05239425e-01	4.26685353e-01	-6.07229641e-02	-1.22615850e-22	2.54249214e-23	2.56464961e-21	1.30774973e-21	1.25689988e-21
8400            	1.13925825e-01	5.69629127e-02	5.69629127e-02	7.31892937e-01	3.05223074e-01	4.26669863e-01	-6.07233946e-02	-1.22615398e-22	2.54244551e-23	2.56463510e-21	1.30774201e-21	1.25689310e-21
8500            	1.13925855e-01	5.69629275e-02	5.69629275e-02	7.31861988e-01	3.05207183e-01	4.26654805e-01	-6.07238112e-02	-1.22614958e-22	2.54240019e-23	2.56462100e-21	1.30773450e-21	1.25688650e-21
8600            	1.13925884e-01	5.69629418e-02	5.69629418e-02	7.31831913e-01	3.05191742e-01	4.26640171e-01	-6.07242146e-02	-1.22614531e-22	2.54235613e-23	2.56460730e-21	1.30772721e-21	1.25688009e-21
8700            	1.13925912e-01	5.69629558e-02	5.69629558e-02	7.31802692e-01	3.05176741e-01	4.26625951e-01	-6.07246051e-02	-1.22614115e-22	2.54231331e-23	2.56459399e-21	1.30772013e-21	1.25687386e-21
8800            	1.13925939e-01	5.69629693e-02	5.69629693e-02	7.31774308e-01	3.05162171e-01	4.26612137e-01	-6.07249832e-02	-1.22613712e-22	2.54227171e-23	2.56458106e-21	1.30771325e-21	1.25686781e-21
8900            	1.13925965e-01	5.69629825e-02	5.69629825e-02	7.31746743e-01	3.05148022e-01	4.26598721e-01	-6.07253494e-02	-1.22613321e-22	2.54223131e-23	2.56456851e-21	1.30770657e-21	1.25686194e-21
9000            	1.13925991e-01	5.69629953e-02	5.69629953e-02	7.31719979e-01	3.05134286e-01	4.26585694e-01	-6.07257040e-02	-1.22612941e-22	2.54219208e-23	2.56455632e-21	1.30770008e-21	1.25685624e-21
9100            	1.13926016e-01	5.69630078e-02	5.69630078e-02	7.31694000e-01	3.05120953e-01	4.26573048e-01	-6.07260475e-02	-1.22612572e-22	2.54215399e-23	2.56454449e-21	1.30769378e-21	1.25685070e-21
9200            	1.13926040e-01	5.69630199e-02	5.69630199e-02	7.31668789e-01	3.05108014e-01	4.26560775e-01	-6.07263803e-02	-1.22612214e-22	2.54211703e-23	2.56453301e-21	1.30768767e-21	1.25684533e-21
9300            	1.13926063e-01	5.69630316e-02	5.69630316e-02	7.31644329e-01	3.05095462e-01	4.26548867e-01	-6.07267027e-02	-1.22611866e-22	2.54208116e-23	2.56452187e-21	1.30768175e-21	1.25684012e-21
9400            	1.13926086e-01	5.69630431e-02	5.69630431e-02	7.31620605e-01	3.05083287e-01	4.26537317e-01	-6.07270150e-02	-1.22611530e-22	2.54204638e-23	2.56451107e-21	1.30767600e-21	1.25683507e-21
9500            	1.13926108e-01	5.69630542e-02	5.69630542e-02	7.31597601e-01	3.05071483e-01	4.26526118e-01	-6.07273177e-02	-1.22611203e-22	2.54201265e-23	2.56450059e-21	1.30767042e-21	1.25683017e-21
9600            	1.13926130e-01	5.69630651e-02	5.69630651e-02	7.31575302e-01	3.05060040e-01	4.26515262e-01	-6.07276111e-02	-1.22610886e-22	2.54197996e-23	2.56449044e-21	1.30766502e-21	1.25682542e-21
9700            	1.13926151e-01	5.69630756e-02	5.69630756e-02	7.31553693e-01	3.05048951e-01	4.26504742e-01	-6.07278954e-02	-1.22610580e-22	2.54194828e-23	2.56448061e-21	1.30765979e-21	1.25682082e-21
9800            	1.13926172e-01	5.69630859e-02	5.69630859e-02	7.31532760e-01	3.05038209e-01	4.26494551e-01	-6.07281709e-02	-1.22610283e-22	2.54191760e-23	2.56447108e-21	1.30765471e-21	1.25681636e-21
9900            	1.13926192e-01	5.69630959e-02	5.69630959e-02	7.31512487e-01	3.05027805e-01	4.26484682e-01	-6.07284381e-02	-1.22609995e-22	2.54188789e-23	2.56446185e-21	1.30764980e-21	1.25681205e-21
10000           	1.13926211e-01	5.69631056e-02	5.69631056e-02	7.31492862e-01	3.05017734e-01	4.26475128e-01	-6.07286970e-02	-1.22609717e-22	2.54185913e-23	2.56445292e-21	1.30764505e-21	1.25680787e-21
